Organization Name,Phone,Email,Website,Description
Gay & Sober,,,https://www.gayandsober.org/,Online community and resources for LGBTQ+ people in recovery.
SMART Recovery (Non-12 Step),,,https://www.smartrecovery.org/,Science-based addiction recovery program as an alternative to 12-step.
Crystal Meth Anonymous,,,http://www.crystalmeth.org/,
Alcoholics Anonymous (AA) — Seattle,,,http://www.seattleaa.org/,
Narcotics Anonymous (NA) — Seattle,,,http://www.seattlena.org/,
